5071970,* MOFid-v1.NA.NA;5071970,
5071982,FN=N.[Cu][Cu].[O-]C(=O)C#CC12C3C4C2(C2(C1(C3C42C#CC(=O)[O-])F)F)F.[O-]C(=O)C=C(C(=O)[O-])F MOFid-v1.ERROR.cat0;5071982,Cu.LRUCGECXFWENDF.OISKHJXTRQPMQT.QEFIANIIMDSXBD.MOFkey-v1.ERROR
5071983,N#CC12C3C4C2C2(C1C3C42C#N)F.[Cu][Cu].[O-]C(=O)C#CC12C3(F)C4C2(C2(C1(C3C42C#CC(=O)[O-])F)F)F.[O-]C(=O)C=CC(=O)[O-] MOFid-v1.pcu.cat0;5071983,Cu.CPLKXBBFHXOEOM.CTSIOQSMEPXEDO.VZCYOOQTPOCHFL.MOFkey-v1.pcu
5071984,FN=N.[Cu][Cu].[O-]C(=O)C#CC12C3(F)C4C2(C2(C1(C3C42C#CC(=O)[O-])F)F)F.[O-]C(=O)C=C(C(=O)[O-])F MOFid-v1.ERROR.cat0;5071984,Cu.CTSIOQSMEPXEDO.LRUCGECXFWENDF.OISKHJXTRQPMQT.MOFkey-v1.ERROR
5071985,FN=N.[Cu][Cu].[O-]C(=O)C#CC12C3C4C2C2(C1C3C42C#CC(=O)[O-])F.[O-]C(=O)C=CC(=O)[O-] MOFid-v1.ERROR.cat0;5071985,Cu.JCTRAWCJXDECPQ.LRUCGECXFWENDF.VZCYOOQTPOCHFL.MOFkey-v1.ERROR
5071986,ClN=N.[Cu][Cu].[O-]C(=O)C=CC(=O)[O-].[O-]C(=O)[C]=C(C(=O)[O-])Cl MOFid-v1.ERROR.cat0;5071986,Cu.CESPBGQCVDCTIW.VZCYOOQTPOCHFL.ZPEQQRXALRCAJM.MOFkey-v1.ERROR
5071987,[Cu][Cu].[O-]C(=O)[C]=C(C(=O)[O-])Cl.[O-]C(=O)C=CC(=O)[O-].ClN=N MOFid-v1.ERROR.cat0;5071987,Cu.ZUGLNHUKBLAMRI.MOFkey-v1.ERROR
5071988,N#CC12C3(Cl)C4C1(Cl)C1(C2(C3(C41C#N)Cl)Cl)Cl.[Cu][Cu].[O-]C(=O)C=CC(=O)[O-].[O-]C(=O)C=[C]C(=O)[O-] MOFid-v1.pcu.cat0;5071988,Cu.DIDNTXMFFFWKRJ.PTQIWYALNHBHDV.VZCYOOQTPOCHFL.MOFkey-v1.pcu
5071989,ClN=N.[Cu][Cu].[O-]C(=O)C#CC12C3C4C2(C2(C1(C3C42C#CC(=O)[O-])Cl)Cl)Cl.[O-]C(=O)C=CC(=O)[O-] MOFid-v1.ERROR.cat0;5071989,Cu.CESPBGQCVDCTIW.SWGZNFMBFFJKJE.VZCYOOQTPOCHFL.MOFkey-v1.ERROR
5071990,N#CC12C3C4C1(Cl)C1(C2(C3(C41C#N)Cl)Cl)Cl.[Cu][Cu].[O-]C(=O)C#CC12C3C4C1C1(C2(C3C41C#CC(=O)[O-])Cl)Cl.[O-]C(=O)C=C(C(=O)[O-])Cl MOFid-v1.pcu.cat0;5071990,Cu.MYXQDYNXOOBSSY.QSOJJJUONKAJJS.ZQHJVIHCDHJVII.MOFkey-v1.pcu
5071991,N=N.[Cu][Cu].[O-]C(=O)C#CC12C3(Cl)C4C1(Cl)C1(C2(C3(C41C#CC(=O)[O-])Cl)Cl)Cl.[O-]C(=O)C=CC(=O)[O-] MOFid-v1.ERROR.cat0;5071991,Cu.RAABOESOVLLHRU.VZCYOOQTPOCHFL.WWYXSOVJVAZQGP.MOFkey-v1.ERROR
5071992,N=N.[Cu][Cu].[O-]C(=O)C#CC12C3(Br)C4C2(C2(C1(C3C42C#CC(=O)[O-])Br)Br)Br.[O-]C(=O)C=C(C(=O)[O-])Br MOFid-v1.ERROR.cat0;5071992,Cu.KUPLTRCXVQPWSH.RAABOESOVLLHRU.SOWPGKJPEXNMCS.MOFkey-v1.ERROR
5071993,N#CC12C3C4C2(C2(C1C3(C42C#N)Br)Br)Br.[Cu][Cu].[O-]C(=O)C=C(C(=O)[O-])Br.[O-]C(=O)C=CC(=O)[O-] MOFid-v1.pcu.cat0;5071993,Cu.KGRNPUHYBQJGPX.SOWPGKJPEXNMCS.VZCYOOQTPOCHFL.MOFkey-v1.pcu
5071994,BrC(=C(C(=O)[O-])Br)C(=O)[O-].BrN=NBr.[Cu][Cu].[O-]C(=O)C#CC12C3C4C2(C2(C1C3(C42C#CC(=O)[O-])Br)Br)Br MOFid-v1.ERROR.cat0;5071994,Cu.GGSOIXALTNWFRM.KYGRLFLHMAWPRE.PMNMPRXRQYSFRP.MOFkey-v1.ERROR
5071995,N=N.[Cu][Cu].[O-]C(=O)C#CC12C3C4C2(C2(C1C3(C42C#CC(=O)[O-])Br)Br)Br.[O-]C(=O)C=C(C(=O)[O-])Br MOFid-v1.ERROR.cat0;5071995,Cu.GGSOIXALTNWFRM.RAABOESOVLLHRU.SOWPGKJPEXNMCS.MOFkey-v1.ERROR
5071996,BrN=N.[Cu][Cu].[O-]C(=O)C#CC12C3C4C2(C2(C1C3(C42C#CC(=O)[O-])Br)Br)Br.[O-]C(=O)C=CC(=O)[O-] MOFid-v1.ERROR.cat0;5071996,Cu.GGSOIXALTNWFRM.VFLYRMSNKFANLH.VZCYOOQTPOCHFL.MOFkey-v1.ERROR
5071997,CC(=C(C(=O)[O-])C)C(=O)[O-].N=N.[Cu][Cu].[O-]C(=O)C#CC12C3C4C1C1(C2C3(C41C#CC(=O)[O-])C)C MOFid-v1.ERROR.cat0;5071997,Cu.CGBYBGVMDAPUIH.RAABOESOVLLHRU.UMQBJJPSIPHQIF.MOFkey-v1.ERROR
5071998,CN=N.[Cu][Cu].[O-]C(=O)C#CC12C3C4C2(C2(C1C3(C42C#CC(=O)[O-])C)C)C.[O-]C(=O)C=CC(=O)[O-] MOFid-v1.ERROR.cat0;5071998,Cu.FWHBSUSASYWIQF.JYXPWUYLZPYOAH.VZCYOOQTPOCHFL.MOFkey-v1.ERROR
5071999,CN=N.[Cu][Cu].[O-]C(=O)C#CC12C3(C)C4C1(C)C1(C2(C3(C41C#CC(=O)[O-])C)C)C.[O-]C(=O)C=C(C(=O)[O-])C MOFid-v1.ERROR.cat0;5071999,Cu.GSTQIZNPSCGUDM.HNEGQIOMVPPMNR.JYXPWUYLZPYOAH.MOFkey-v1.ERROR
5072,[O-]C(=O)C#CC(=O)[O-].[O-]C(=O)C=CC(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;5072,Zn.VZCYOOQTPOCHFL.YTIVTFGABIZHHX.MOFkey-v1.pcu
5072000,N=N.[Cu][Cu].[O-]C(=O)C#CC12C3C4C2(C2(C1C3(C42C#CC(=O)[O-])C)C)C.[O-]C(=O)C=CC(=O)[O-] MOFid-v1.ERROR.cat0;5072000,Cu.FWHBSUSASYWIQF.RAABOESOVLLHRU.VZCYOOQTPOCHFL.MOFkey-v1.ERROR
5072001,CN=N.[Cu][Cu].[O-]C(=O)C#CC12C3C4C2(C2(C1(C3C42C#CC(=O)[O-])C)C)C.[O-]C(=O)C=C(C(=O)[O-])C MOFid-v1.ERROR.cat0;5072001,Cu.HNEGQIOMVPPMNR.JYXPWUYLZPYOAH.VPNBWVNKCACYDN.MOFkey-v1.ERROR
5072002,CCC(=C(C(=O)[O-])CC)C(=O)[O-].CCC12C3C4C2(C2C1C3(C42CC)C#CC(=O)[O-])C#CC(=O)[O-].N#CC12C3C4C2C2(C1C3C42C#N)CC.[Cu][Cu] MOFid-v1.pcu.cat0;5072002,Cu.APQCZPQVVCJCKM.HAHASQAKYSVXBE.QCWUTTOGPGBNMU.MOFkey-v1.pcu
5072003,CCC(=CC(=O)[O-])C(=O)[O-].CCC12C3C4C1(C#CC(=O)[O-])C1C2(C3(C41)C#CC(=O)[O-])CC.CCN=N.[Cu][Cu] MOFid-v1.ERROR.cat0;5072003,Cu.HRDMLQRJBXAJGI.SASYHUDIOGGZCN.YROOJACMQDRLHC.MOFkey-v1.ERROR
5072004,CCC(=C(C(=O)[O-])CC)C(=O)[O-].CCC12C3C4C1(C#CC(=O)[O-])C1C2(C3(C41)C#CC(=O)[O-])CC.CCN=N.[Cu][Cu] MOFid-v1.ERROR.cat0;5072004,Cu.HAHASQAKYSVXBE.HRDMLQRJBXAJGI.YROOJACMQDRLHC.MOFkey-v1.ERROR
5072005,CCC(=CC(=O)[O-])C(=O)[O-].CCC12C3C4C2(C2(C1C3(C42CC)C#CC(=O)[O-])CC)C#CC(=O)[O-].N=N.[Cu][Cu] MOFid-v1.ERROR.cat0;5072005,Cu.RAABOESOVLLHRU.SASYHUDIOGGZCN.YNBZUPMFFFKOJI.MOFkey-v1.ERROR
5072006,CCC12C3(C#CC(=O)[O-])C4C2(C2(C1(C3C42CC)CC)C#CC(=O)[O-])CC.CCN=NCC.[Cu][Cu].[O-]C(=O)C=CC(=O)[O-] MOFid-v1.ERROR.cat0;5072006,Cu.INTMMHZKGCDQGT.VZCYOOQTPOCHFL.WRQAJPFLASAFFQ.MOFkey-v1.ERROR
5072007,CCCC12C3C4C1(C#CC(=O)[O-])C1C2(C3(C41CCC)C#CC(=O)[O-])CCC.CCCN=NCCC.[Cu][Cu].[O-]C(=O)C(=CC(=O)[O-])CCC MOFid-v1.ERROR.cat0;5072007,Cu.CCKSYUMJLIMSQK.IQIZKBWOEDDYST.LQCYZZANGSLXDJ.MOFkey-v1.ERROR
5072008,CCCC12C3C4C1(C#CC(=O)[O-])C1(C2(C3(C41CCC)C#CC(=O)[O-])CCC)CCC.CCCN=N.[Cu][Cu].[O-]C(=O)C(=CC(=O)[O-])CCC MOFid-v1.ERROR.cat0;5072008,Cu.BIYBTXFCTUEFOS.CCKSYUMJLIMSQK.WGOJIXVLXHGGTI.MOFkey-v1.ERROR
5072009,CCCC(=C(C(=O)[O-])CCC)C(=O)[O-].CCCC12C3C4C2(C2(C1C3(C42)C#CC(=O)[O-])CCC)C#CC(=O)[O-].CCCN=NCCC.[Cu][Cu] MOFid-v1.ERROR.cat0;5072009,Cu.DOPPNTNGPXEPKU.HUTDPYXCLRDCMO.LQCYZZANGSLXDJ.MOFkey-v1.ERROR
5072010,NN=N.[Cu][Cu].[O-]C(=O)C#CC12C3C4C1(N)C1(C2(C3(C41C#CC(=O)[O-])N)N)N.[O-]C(=O)C=C(C(=O)[O-])N MOFid-v1.ERROR.cat0;5072010,Cu.ABZHGLSYGDUSDL.AYNNSCRYTDRFCP.JTDIQVBKUFWUSC.MOFkey-v1.ERROR
5072011,N#CC12C3C4C2(C2(C1C3(C42C#N)N)N)N.NC(=C(C(=O)[O-])N)C(=O)[O-].[Cu][Cu].[O-]C(=O)C#CC12C3C4C1(N)C1(C2(C3(C41C#CC(=O)[O-])N)N)N MOFid-v1.pcu.cat0;5072011,Cu.JTDIQVBKUFWUSC.MRRBAEJGLOLWCX.PDJTVLKMWFLVIR.MOFkey-v1.pcu
5072012,NN=NN.[Cu][Cu].[O-]C(=O)C#CC12C3C4C1C1(C2C3(C41C#CC(=O)[O-])N)N.[O-]C(=O)C=CC(=O)[O-] MOFid-v1.ERROR.cat0;5072012,Cu.MAYAIKGSJAROAE.MAZKAODOCXYDCM.VZCYOOQTPOCHFL.MOFkey-v1.ERROR
5072013,NC(=C(C(=O)[O-])N)C(=O)[O-].NN=N.[Cu][Cu].[O-]C(=O)C=C(C(=O)[O-])N MOFid-v1.ERROR.cat0;5072013,Cu.ABZHGLSYGDUSDL.AYNNSCRYTDRFCP.MRRBAEJGLOLWCX.MOFkey-v1.ERROR
5072014,N=N.NC(=C(C(=O)[O-])N)C(=O)[O-].[Cu][Cu].[O-]C(=O)C#CC12C3C4C2(C2(C1C3(C42C#CC(=O)[O-])N)N)N MOFid-v1.ERROR.cat0;5072014,Cu.MRRBAEJGLOLWCX.QSBMHEPOJMGGIS.RAABOESOVLLHRU.MOFkey-v1.ERROR
5072016,* MOFid-v1.NA.NA;5072016,
5072017,* MOFid-v1.NA.NAno_mof;5072017,NA.MISSING_LINKERS.MOFkey-v1
5072018,[Cu][Cu].[O-]C(=O)C=CC(=O)[O-] MOFid-v1.ERROR.cat0;5072018,Cu.VZCYOOQTPOCHFL.MOFkey-v1.ERROR
5072019,N#CC12C3C4C1(O)C1(C2(C3(C41C#N)O)O)O.OC(=C(C(=O)[O-])O)C(=O)[O-].[Cu][Cu].[O-]C(=O)C=CC(=O)[O-] MOFid-v1.pcu.cat0;5072019,Cu.BZCOSCNPHJNQBP.PGGVMWQNFKOVKJ.VZCYOOQTPOCHFL.MOFkey-v1.pcu
5072020,N=N.OC(=C(C(=O)[O-])O)C(=O)[O-].[Cu][Cu].[O-]C(=O)C=CC(=O)[O-] MOFid-v1.ERROR.cat0;5072020,Cu.BZCOSCNPHJNQBP.RAABOESOVLLHRU.VZCYOOQTPOCHFL.MOFkey-v1.ERROR
5072021,ON=N.[Cu][Cu].[O-]C(=O)C#CC12C3C4C2(C2(C1C3(C42C#CC(=O)[O-])O)O)O.[O-]C(=O)C=CC(=O)[O-] MOFid-v1.ERROR.cat0;5072021,Cu.JQDYHLJJQIXJAP.VZCYOOQTPOCHFL.XKLJHFLUAHKGGU.MOFkey-v1.ERROR
5072022,N=N.[Cu][Cu].[O-]C(=O)C#CC12C3C4C1(O)C1(C2(C3(C41C#CC(=O)[O-])O)O)O.[O-]C(=O)C#CC12C3C4C1C1(C2C3(C41C#CC(=O)[O-])O)O MOFid-v1.ERROR.cat0;5072022,Cu.BMLUFKYEZDACCJ.JDWLASVWNAHAPU.RAABOESOVLLHRU.MOFkey-v1.ERROR
5072023,ON=N.[Cu][Cu].[O-]C(=O)C=CC(=O)[O-] MOFid-v1.ERROR.cat0;5072023,Cu.VZCYOOQTPOCHFL.XKLJHFLUAHKGGU.MOFkey-v1.ERROR
5072024,ON=N.[Cu][Cu].[O-]C(=O)C=CC(=O)[O-] MOFid-v1.ERROR.cat1;5072024,Cu.VZCYOOQTPOCHFL.XKLJHFLUAHKGGU.MOFkey-v1.ERROR
5072025,N#CC(=CC(=O)[O-])C(=O)[O-].N#CC12C3C4C2(C2(C1C3(C42C#N)C#CC(=O)[O-])C#N)C#CC(=O)[O-].N=NC#N.[Cu][Cu] MOFid-v1.ERROR.cat0;5072025,Cu.GXWBFSNRVLUQRT.XGBGDFHEOVDMNI.YTGCVCAEGYLSCZ.MOFkey-v1.ERROR
5072026,N#CC(=CC(=O)[O-])C(=O)[O-].N#CC12C3(C#CC(=O)[O-])C4C52C2(C1(C3C42[C]N1[C]5[N]1)C#N)C#CC(=O)[O-].N=NC#N.[Cu][Cu] MOFid-v1.ERROR.cat0;5072026,Cu.GXWBFSNRVLUQRT.NGNPVUNCXPGYIP.YTGCVCAEGYLSCZ.MOFkey-v1.ERROR
5072027,N#CC12C3(C#N)C4C1(C#N)C1(C2(C3(C41)C#N)C#N)C#N.[Cu][Cu].[O-]C(=O)C=CC(=O)[O-] MOFid-v1.pcu.cat0;5072027,Cu.HTSCDTFNJVRQSX.VZCYOOQTPOCHFL.MOFkey-v1.pcu
5072028,N#CC(=CC(=O)[O-])C(=O)[O-].N#CC12C3C4C2(C2C1C3(C42)C#CC(=O)[O-])C#CC(=O)[O-].N#CN=NC#N.[Cu][Cu] MOFid-v1.ERROR.cat0;5072028,Cu.NEOOATUUDRFZSN.NNZKXWKGKKLZQF.YTGCVCAEGYLSCZ.MOFkey-v1.ERROR
5072029,N#CC12C3C4C2(C2C1C3(C42)C#CC(=O)[O-])C#CC(=O)[O-].N#CN=NC#N.[Cu][Cu].[O-]C(=O)C=CC(=O)[O-] MOFid-v1.ERROR.cat0;5072029,Cu.NEOOATUUDRFZSN.NNZKXWKGKKLZQF.VZCYOOQTPOCHFL.MOFkey-v1.ERROR
5072030,COC12C3(C#CC(=O)[O-])C4C2(C2(C1(C3C42)OC)C#CC(=O)[O-])OC.CON=N.[Cu][Cu].[O-]C(=O)C=CC(=O)[O-] MOFid-v1.ERROR.cat0;5072030,Cu.CSFDKPAFZKIPKC.VZCYOOQTPOCHFL.MOFkey-v1.ERROR
5072031,COC12C3C4C1(C#CC(=O)[O-])C1C2(C3(C41OC)C#CC(=O)O)OC.[CH2]ON=NOC.[Cu][Cu].[O-]C(=O)C=CC(=O)[O-] MOFid-v1.ERROR.cat0;5072031,Cu.DUNVDHVUYZDPPB.VZCYOOQTPOCHFL.MOFkey-v1.ERROR
5072032,COC12C3(OC)C4C1(C#CC(=O)[O-])C1(C2(C3(C41OC)C#CC(=O)[O-])OC)OC.N=N.[CH2]OC(=CC([O])[O])C(=O)[O-].[Cu][Cu] MOFid-v1.ERROR.cat0;5072032,Cu.RAABOESOVLLHRU.UXJIQOKQBKUAGG.VYVUHSITSCALDO.MOFkey-v1.ERROR
5072033,COC12C3C4C2(C2C1C3(C42)C#CC(=O)[O-])C#CC(=O)[O-].CON=N.[Cu][Cu].[O-]C(=O)C=CC(=O)[O-] MOFid-v1.ERROR.cat0;5072033,Cu.FXMWYWKEOSEPHG.GTSDUQXMVJEBJE.VZCYOOQTPOCHFL.MOFkey-v1.ERROR
5072034,[Cu][Cu].[O-]C(=O)C=CC(=O)[O-] MOFid-v1.ERROR.cat0;5072034,Cu.VZCYOOQTPOCHFL.MOFkey-v1.ERROR
5072035,CCOC12C3C4C1(C#CC(=O)[O-])C1C2(C3(C41OCC)C#CC(=O)[O-])OCC.N=N.[Cu][Cu].[O-]C(=O)C(=CC(=O)[O-])OCC MOFid-v1.ERROR.cat0;5072035,Cu.RAABOESOVLLHRU.RESZKUYVAVEVII.UWDCWPJGPVSKJT.MOFkey-v1.ERROR
5072036,CCOC12C3C4C2(C2C1C3(C42)C#CC(=O)[O-])C#CC(=O)[O-].N=N.[Cu][Cu].[O-]C(=O)C(=CC(=O)[O-])OCC MOFid-v1.ERROR.cat0;5072036,Cu.FEXMBBCPLGEIIW.RAABOESOVLLHRU.RESZKUYVAVEVII.MOFkey-v1.ERROR
5072037,CCOC12C3C4C2(C2C1C3(C42)C#CC(=O)[O-])C#CC(=O)[O-].CCON=N.[Cu][Cu].[O-]C(=O)C(=CC(=O)[O-])OCC MOFid-v1.ERROR.cat0;5072037,Cu.FEXMBBCPLGEIIW.GRTJMNXYAFPFKQ.RESZKUYVAVEVII.MOFkey-v1.ERROR
5072038,CCOC12C3C4C1(C#CC(=O)[O-])C1(C2(C3(C41)C#CC(=O)[O-])OCC)OCC.N=N.[Cu][Cu].[O-]C(=O)C(=CC(=O)[O-])OCC MOFid-v1.ERROR.cat0;5072038,Cu.HYZCZZDCYNEHOA.RAABOESOVLLHRU.RESZKUYVAVEVII.MOFkey-v1.ERROR
5072039,CCOC12C3C4C2(C2C1C3(C42OCC)C#CC(=O)[O-])C#CC(=O)[O-].CCON=N.[Cu][Cu].[O-]C(=O)C(=CC(=O)[O-])OCC MOFid-v1.ERROR.cat0;5072039,Cu.GRTJMNXYAFPFKQ.RESZKUYVAVEVII.VUYFXFHZJGPBKD.MOFkey-v1.ERROR
5072040,* MOFid-v1.NA.NAno_mof;5072040,NA.MISSING_LINKERS.MOFkey-v1
5072041,[Cu][Cu].[O-]C(=O)C=CC(=O)[O-] MOFid-v1.ERROR.cat0;5072041,Cu.VZCYOOQTPOCHFL.MOFkey-v1.ERROR
5072042,* MOFid-v1.NA.NA;5072042,
5072043,* MOFid-v1.NA.NA;5072043,
5072044,N#CC12C3C4C2(C2(C1C3(C42C#N)N=N)N=N)N=N.N=NC(=C(C(=O)[O-])N=N)C(=O)[O-].N=NC12C3C4C2(C2C1C3(C42)C#CC(=O)[O-])C#CC(=O)[O-].[Cu][Cu] MOFid-v1.pcu.cat0;5072044,Cu.DHRYMYYWBRJEFG.MIBIWWREGHXQKV.YWBAACBUHSPUTH.MOFkey-v1.pcu
5072045,N=NC(=CC(=O)[O-])C(=O)[O-].N=NC12C3C4C1(C#CC(=O)[O-])C1C2(C3(C41)C#CC(=O)[O-])N=N.N=NN=N.[Cu][Cu] MOFid-v1.ERROR.cat0;5072045,Cu.HLPVTFNNAPBGCO.IKFYKESYZGFGEB.LRHJRDCPAJOUMU.MOFkey-v1.ERROR
5072046,N=NC(=CC(=O)[O-])C(=O)[O-].N=NC12C3(C#CC(=O)[O-])C4C2(C2(C1(C3C42)N=N)C#CC(=O)[O-])N=N.N=NN=NN=N.[Cu][Cu] MOFid-v1.ERROR.cat0;5072046,Cu.BMYKMDPABTZEKN.LRHJRDCPAJOUMU.MPSZFWACCKIVQC.MOFkey-v1.ERROR
5072047,N=N.N=NC(=CC(=O)[O-])C(=O)[O-].N=NC12C3C4C2(C2(C1C3(C42)C#CC(=O)[O-])N=N)C#CC(=O)[O-].[Cu][Cu] MOFid-v1.ERROR.cat0;5072047,Cu.LRHJRDCPAJOUMU.RAABOESOVLLHRU.YVKRDONKJDHBJD.MOFkey-v1.ERROR
5072048,N=NC(=CC(=O)[O-])C(=O)[O-].N=NC12C3C4C2(C2(C1C3(C42N=N)C#CC(=O)[O-])N=N)C#CC(=O)[O-].N=NN=N.[Cu][Cu] MOFid-v1.ERROR.cat0;5072048,Cu.HOUMKYWWYPCTEE.IKFYKESYZGFGEB.LRHJRDCPAJOUMU.MOFkey-v1.ERROR
5072049,N#CC12C3C4C2C2C1C3C42C#N.[Cu][Cu].[O-]C(=O)C=CC=CC(=O)[O-] MOFid-v1.pcu.cat0;5072049,Cu.TXXHDPDFNKHHGW.TXYYKQLFKWXXLQ.MOFkey-v1.pcu
5072050,N#CC12C3C4C2C2C1C3C42C#N.[Cu][Cu].[O-]C(=O)C=CC=CC(=O)[O-] MOFid-v1.pcu.cat1;5072050,Cu.TXXHDPDFNKHHGW.TXYYKQLFKWXXLQ.MOFkey-v1.pcu
5072051,N#CC12C3C4C2C2C1C3C42C#N.[Cu][Cu].[O-]C(=O)C=CC=CC(=O)[O-] MOFid-v1.pcu.cat2;5072051,Cu.TXXHDPDFNKHHGW.TXYYKQLFKWXXLQ.MOFkey-v1.pcu
5072052,N=CC=N.[Cu][Cu].[O-]C(=O)C#CC12C3C4C2C2C1C3C42C#CC(=O)[O-].[O-]C(=O)C=CC=CC(=O)[O-] MOFid-v1.pcu.cat0;5072052,Cu.KYMVBVBRCRFHIE.TXXHDPDFNKHHGW.VPNHZAKITSXAFU.MOFkey-v1.pcu
5072053,N=CC=N.[Cu][Cu].[O-]C(=O)C#CC12C3C4C2C2C1C3C42C#CC(=O)[O-].[O-]C(=O)C=CC=CC(=O)[O-] MOFid-v1.pcu.cat1;5072053,Cu.KYMVBVBRCRFHIE.TXXHDPDFNKHHGW.VPNHZAKITSXAFU.MOFkey-v1.pcu
5072054,N=CC(=N)F.[Cu][Cu].[O-]C(=O)C#CC12C3C4C2(C2(C1(C3C42C#CC(=O)[O-])F)F)F.[O-]C(=O)C=CC=CC(=O)[O-] MOFid-v1.pcu.cat0;5072054,Cu.QEFIANIIMDSXBD.SFSXFCQFQAKMFE.TXXHDPDFNKHHGW.MOFkey-v1.pcu
5072055,N=CC(=N)F.[Cu][Cu].[O-]C(=O)C#CC12C3C4C2(C2(C1(C3C42C#CC(=O)[O-])F)F)F.[O-]C(=O)C=CC=CC(=O)[O-] MOFid-v1.pcu.cat1;5072055,Cu.QEFIANIIMDSXBD.SFSXFCQFQAKMFE.TXXHDPDFNKHHGW.MOFkey-v1.pcu
