5071970,* MOFid-v1.NA.NA;5071970,
5071971,N=NC12C3C4C2(C2C1C3(C42)C#CC(=O)[O-])C#CC(=O)[O-].N=Nc1cc(C(=O)[O-])c(cc1N=Nc1ccc2c(c1N=N)[N]NOC2=O)N=N.N=Nc1cncc(c1N=Nc1ccnc2c1[N]NN[N]2)N=N.[Cu][Cu] MOFid-v1.pcu,sql.cat0;5071971,Cu.JHIFIEFUCWSXOG.XULQOPNYEKMFPC.YWBAACBUHSPUTH.MOFkey-v1.pcu
5071972,N=NC12C3C4C2(C2C1C3(C42)C#CC(=O)[O-])C#CC(=O)[O-].N=Nc1cc(C(=O)[O-])c(cc1N=Nc1ccc2c(c1N=N)[N]NOC2=O)N=N.N=Nc1cncc(c1N=Nc1ccnc2c1[N]NN[N]2)N=N.[Cu][Cu] MOFid-v1.pcu,sql.cat1;5071972,Cu.JHIFIEFUCWSXOG.XULQOPNYEKMFPC.YWBAACBUHSPUTH.MOFkey-v1.pcu
5071973,N=NC12C3C4C2(C2C1C3(C42)C#CC(=O)[O-])C#CC(=O)[O-].N=NC1=[N]=C(N=N)C(=C(C1=N[NH])N=Nc1ccncc1N=N)N=N.N=Nc1cc(N=Nc2ccc(cc2)C(=O)[O-])ccc1C(=O)[O-].[Cu][Cu] MOFid-v1.pcu.cat0;5071973,Cu.WEEKUBVQKHUEGI.YWBAACBUHSPUTH.ZUJVJRDYLPSMDD.MOFkey-v1.pcu
5071974,N=NC12C3C4C2(C2C1C3(C42)C#CC(=O)[O-])C#CC(=O)[O-].N=NC1=[N]=C(N=N)C(=C(C1=N[NH])N=Nc1ccncc1N=N)N=N.N=Nc1cc(N=Nc2ccc(cc2)C(=O)[O-])ccc1C(=O)[O-].[Cu][Cu] MOFid-v1.pcu.cat1;5071974,Cu.WEEKUBVQKHUEGI.YWBAACBUHSPUTH.ZUJVJRDYLPSMDD.MOFkey-v1.pcu
5071975,N#CC12C3C4C1C1(C2(C3C41C#N)C)C.[Cu][Cu].[O-]C(=O)C#CC12C3C4C2C2(C1C3C42C#CC(=O)[O-])C.[O-]C(=O)c1cc(c2c(C)ccc(c2C)C)c(c(c1c1c(C)c(C)cc(c1C)C)C)C(=O)[O-] MOFid-v1.pcu.cat0;5071975,Cu.KIMMJFJEMVXCBI.NUKRWUSZBVSVND.NVZZRYXQZLXCFQ.MOFkey-v1.pcu
5071976,Cc1cccc(c1)c1c(cc(c(c1C)C(=O)[O-])c1c(C)ccc(c1C)C)C(=O)[O-].N#CC12C3C4C2C2(C1C3C42C#N)C.[Cu][Cu].[O-]C(=O)C#CC12C3C4C1(C)C1(C2(C3(C41C#CC(=O)[O-])C)C)C MOFid-v1.pcu.cat0;5071976,Cu.CJTFVDXVKQPXHB.FTALBUNYQQQKRG.KZXCOYXTWXYXJR.MOFkey-v1.pcu
5071977,N[C][NH2]c1ccc(cc1[NH2]C(=[N])[C])c1cc(C(=O)[O-])c(c(c1C(=O)[O-])N)c1cc2[NH2]C(=[N])[C]C([NH2]c2cc1N)[CH].[Cu][Cu].[O-]C(=O)C#CC12C3C4C2C2(C1C3C42C#CC(=O)[O-])N MOFid-v1.sql.cat0;5071977,Cu.RKOMNKJUPUSPQO.XMMCKHOEMTXTMS.MOFkey-v1.sql
5071978,N#C[C]1[CH][C](O)[C]([C]([C]1O)O)C#N.[Cu][Cu] MOFid-v1.pcu.cat0;5071978,Cu.MVKDYECYGZOKNC.MOFkey-v1.pcu
5071979,N=N.[Cu][Cu].[O-]C(=O)C#CC12C3C4C2C2C1C3C42C#CC(=O)[O-].[O-]C(=O)C=CC(=O)[O-] MOFid-v1.ERROR.cat0;5071979,Cu.RAABOESOVLLHRU.VPNHZAKITSXAFU.VZCYOOQTPOCHFL.MOFkey-v1.ERROR
5071980,N=N.[Cu][Cu].[O-]C(=O)C#CC12C3C4C2C2C1C3C42C#CC(=O)[O-].[O-]C(=O)C=CC(=O)[O-] MOFid-v1.ERROR.cat0;5071980,Cu.RAABOESOVLLHRU.VPNHZAKITSXAFU.VZCYOOQTPOCHFL.MOFkey-v1.ERROR
5071981,FC(=C(C(=O)[O-])F)C(=O)[O-].FN=NF.[Cu][Cu].[O-]C(=O)C#CC12C3C4C2(C2(C1C3(C42C#CC(=O)[O-])F)F)F MOFid-v1.ERROR.cat0;5071981,Cu.DUQAODNTUBJRGF.JUVWKFKXIVLAHQ.WJBPMLNQEZXACX.MOFkey-v1.ERROR
