19949,* MOFid-v1.NA.NA;19949,
1995,[O-]C(=O)C#Cc1cc(Cl)c(c(c1Cl)Cl)C#CC(=O)[O-].[O-]C(=O)C#Cc1ccc(c(c1)Cl)C#CC(=O)[O-].[O-]C(=O)C#Cc1ccc(c(c1Cl)Cl)C#CC(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2;1995,Zn.HNWPXQKUPOHYHR.OXULEPRYGLCIAC.PDEPRDZEJZYBGS.MOFkey-v1.pcu
19950,[Zn][Zn].c1ccc(cc1)c1ncc(nc1)c1ccccc1.[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O-]C(=O)C=CC(=O)[O-] MOFid-v1.pcu.cat0;19950,Zn.QHEXFWPYDUEWLB.MOFkey-v1.pcu
19951,[Zn][Zn].c1ccc(cc1)c1nccnc1c1ccccc1.[O-]C(=O)C=CC(=O)[O-].[O-]C(=O)C=CC(=O)[O-] MOFid-v1.pcu.cat0;19951,Zn.ZPPRIFPJYGBVQZ.MOFkey-v1.pcu
19952,OC(=C(C(=O)[O-])O)C(=O)[O-].ON=N.[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][Zn] MOFid-v1.ERROR.cat0;19952,Zn.BZCOSCNPHJNQBP.KKEYFWRCBNTPAC.XKLJHFLUAHKGGU.MOFkey-v1.ERROR
19953,OC1=[N]=C(C(=N[CH]1)O)O.[O-]C(=O)C=C(C(=O)[O-])O.[O-]C(=O)c1cc(O)c(c(c1O)O)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;19953,Zn.GEJWYFZMHBHYBM.PVQMWZDAOPIATO.UWYVPFMHMJIBHE.MOFkey-v1.pcu
19954,N=N.[O-]C(=O)c1c(O)c(O)c(c(c1O)O)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)O)C(=O)[O-].[Zn][Zn] MOFid-v1.ERROR.cat0;19954,Zn.CDOWNLMZVKJRSC.RAABOESOVLLHRU.VUQBDNXYMFPPFM.MOFkey-v1.ERROR
19955,Oc1nccnc1O.[O-]C(=O)C=CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;19955,Zn.CIGLZLCKRXOFQU.VZCYOOQTPOCHFL.MOFkey-v1.pcu
19956,ON=N.[O-]C(=O)C=C(C(=O)[O-])O.[O-]C(=O)c1ccc(c(c1)O)C(=O)[O-].[Zn][Zn] MOFid-v1.ERROR.cat0;19956,Zn.CDOWNLMZVKJRSC.UWYVPFMHMJIBHE.XKLJHFLUAHKGGU.MOFkey-v1.ERROR
19957,N#Cc1cc(cc(c1C(=O)[O-])C#N)C(=O)[O-].N#Cc1cnc(c(n1)C#N)C#N.[O-]C(=O)C=CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;19957,Zn.ALBXXUYMWJRKSP.TUIRJLRYCSVTBW.VZCYOOQTPOCHFL.MOFkey-v1.pcu
19958,N#Cc1cc(C(=O)[O-])c(cc1C(=O)[O-])C#N.N#Cc1nc(C#N)c(nc1C#N)C#N.[O-]C(=O)C=CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;19958,Zn.VOHLAVUPSKBRPU.VZCYOOQTPOCHFL.XBBSUDFJLPWTPE.MOFkey-v1.pcu
19959,N#CC(=CC(=O)[O-])C(=O)[O-].N#Cc1cc(cc(c1C(=O)[O-])C#N)C(=O)[O-].N#Cc1cncc(n1)C#N.[Zn][Zn] MOFid-v1.pcu.cat0;19959,Zn.LNTNLQQGRYTCJI.TUIRJLRYCSVTBW.YTGCVCAEGYLSCZ.MOFkey-v1.pcu
1996,[O-]C(=O)C#Cc1cc(Cl)c(c(c1Cl)Cl)C#CC(=O)[O-].[O-]C(=O)C#Cc1ccc(c(c1)Cl)C#CC(=O)[O-].[O-]C(=O)C#Cc1ccc(c(c1Cl)Cl)C#CC(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat3;1996,Zn.HNWPXQKUPOHYHR.OXULEPRYGLCIAC.PDEPRDZEJZYBGS.MOFkey-v1.pcu
19960,* MOFid-v1.NA.NA;19960,
19961,COC(=C(C(=O)[O-])OC)C(=O)[O-].COC1=N[CH]C(=N[CH]1)OC.[O-]C(=O)C=CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;19961,Zn.BBERXJJYPMNVAI.JSMRMEHPVKWHKV.VZCYOOQTPOCHFL.MOFkey-v1.pcu
19962,COC1=[N]=C(C(=O)N=C1)OC.[Zn][Zn] MOFid-v1.pcu.cat0;19962,Zn.LRYIGRTYGNAMRR.MOFkey-v1.pcu
19963,* MOFid-v1.NA.NA;19963,
19964,COc1cc(C(=O)[O-])c(c(c1C(=O)[O-])OC)OC.[Zn][Zn] MOFid-v1.pcu.cat0;19964,Zn.HUNYILZBHFNRCK.MOFkey-v1.pcu
19965,COc1c([O])c(ccc1C(=O)[O-])C(=O)[O-].[CH3].COc1cc(cc(c1C(=O)[O-])OC)C(=O)[O-].N=N.[Zn][Zn] MOFid-v1.ERROR.cat0;19965,Zn.PZOGQQWGEUAETQ.RAABOESOVLLHRU.XZZNMOQLQQVIFN.MOFkey-v1.ERROR
19966,CCOC1=[N]=C(C(=N[CH]1)OCC)OCC.CCOc1cc(ccc1C(=O)[O-])C(=O)[O-].[O-]C(=O)C(=CC(=O)[O-])OCC.[Zn][Zn] MOFid-v1.pcu.cat0;19966,Zn.IWFVHBRPBOMFMG.RESZKUYVAVEVII.VQAIMPOVHMXDIQ.MOFkey-v1.pcu
19967,CCOC1=[N]=C(C=N[CH]1)OCC.CCOc1cc(ccc1C(=O)[O-])C(=O)[O-].[O-]C(=O)C=CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;19967,Zn.IGZZJXSDNMXWIL.IWFVHBRPBOMFMG.VZCYOOQTPOCHFL.MOFkey-v1.pcu
19968,CCOC1=N[CH]C(=N[CH]1)OCC.CCOc1cc(C(=O)[O-])c(cc1C(=O)[O-])OCC.[O-]C(=O)C=CC(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;19968,Zn.AUALOWFMOVEPSI.SJDFMJZMQLIMDN.VZCYOOQTPOCHFL.MOFkey-v1.pcu
