5029955,OOC1=c2c(O)c(O)c3=C(OO)N(C(=c4c3c2c(=C(N1C1=[C]C=C(C=[C]1)C(=O)[O-])OO)c(O)c4O)OO)C1=[C]C=C(C(=[C]1)O)C(=O)[O-].[O-]C(=O)c1cc(O)c(cc1O)c1nnc(nn1)c1cc(O)c(cc1O)C(=O)[O-].[O-]C(=O)c1ccc(cc1O)c1nnc(nn1)c1c(O)cc(c(c1O)O)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;5029955,Zn.VOZDMGDKNAKPGX.WIMBHXDFHBZSHJ.XTMAQDJWMOYZBR.MOFkey-v1.pcu
5029956,OOC1=c2c(O)c(O)c3=C(OO)N(C(=c4c3c2c(=C(N1C1=[C]C=C(C=[C]1)C(=O)[O-])OO)c(O)c4O)OO)C1=[C]C=C(C(=[C]1)O)C(=O)[O-].[O-]C(=O)c1cc(O)c(cc1O)c1nnc(nn1)c1cc(O)c(cc1O)C(=O)[O-].[O-]C(=O)c1ccc(cc1O)c1nnc(nn1)c1c(O)cc(c(c1O)O)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;5029956,Zn.VOZDMGDKNAKPGX.WIMBHXDFHBZSHJ.XTMAQDJWMOYZBR.MOFkey-v1.pcu
5029957,OOC1=c2c(O)c(O)c3=C(OO)N(C(=c4c3c2c(=C(N1C1=[C]C=C(C=[C]1)C(=O)[O-])OO)c(O)c4O)OO)C1=[C]C=C(C(=[C]1)O)C(=O)[O-].[O-]C(=O)c1cc(O)c(cc1O)c1nnc(nn1)c1cc(O)c(cc1O)C(=O)[O-].[O-]C(=O)c1ccc(cc1O)c1nnc(nn1)c1c(O)cc(c(c1O)O)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2;5029957,Zn.VOZDMGDKNAKPGX.WIMBHXDFHBZSHJ.XTMAQDJWMOYZBR.MOFkey-v1.pcu
5029958,N#CC1=C(C=C2[C]3C1=C([N])OC1=c4c(C#N)cc5c6c4=C([C](N31)OC2=[N])C(=C([C]6C(=O)N(C5=O)c1cc(C#N)c(c(c1)C#N)C(=O)[O-])C#N)C#N)C(=O)[O-].N#Cc1c(C#N)c(ccc1C(=O)[O-])c1nnc(nn1)c1ccc(cc1)C(=O)[O-].N#Cc1cc(C(=O)[O-])c(cc1c1nnc(nn1)c1ccc(c(c1C#N)C#N)C(=O)[O-])C#N.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;5029958,Zn.CRJYXIDSWWLWSU.HIUFTTFCHSYYHG.ZTEVRLIXHDIXMS.MOFkey-v1.pcu
5029959,N#CC1=C(C=C2[C]3C1=C([N])OC1=c4c(C#N)cc5c6c4=C([C](N31)OC2=[N])C(=C([C]6C(=O)N(C5=O)c1cc(C#N)c(c(c1)C#N)C(=O)[O-])C#N)C#N)C(=O)[O-].N#Cc1c(C#N)c(ccc1C(=O)[O-])c1nnc(nn1)c1ccc(cc1)C(=O)[O-].N#Cc1cc(C(=O)[O-])c(cc1c1nnc(nn1)c1ccc(c(c1C#N)C#N)C(=O)[O-])C#N.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;5029959,Zn.CRJYXIDSWWLWSU.HIUFTTFCHSYYHG.ZTEVRLIXHDIXMS.MOFkey-v1.pcu
5029960,N#CC1=C([CH]C2=C([N])O[C]3N4C2=C1C(=[N])OC4=c1c(C#N)cc2c4c1=C3C(=C([C]4C(=O)N(C2=O)c1cc(C#N)c(c(c1)C#N)C(=O)[O-])C#N)C#N)C(=O)[O-].N#Cc1c(C#N)c(ccc1C(=O)[O-])c1nnc(nn1)c1ccc(cc1)C(=O)[O-].N#Cc1cc(C(=O)[O-])c(cc1c1nnc(nn1)c1ccc(c(c1C#N)C#N)C(=O)[O-])C#N.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2;5029960,Zn.CRJYXIDSWWLWSU.HIUFTTFCHSYYHG.ZTEVRLIXHDIXMS.MOFkey-v1.pcu
5029961,N#CC1=C[C]2C(=C([N])O[C]3N2C(=O)c2c(C#N)c(C#N)c4c5c2c3c(C#N)c(c5C(=O)N2[C]4OC(=C3C2=CC=C([CH]3)C(=O)[O-])[N])C#N)C(=C1C(=O)[O-])C#N.N#Cc1cc(C(=O)[O-])c(c(c1c1nnc(nn1)c1c(C#N)cc(c(c1C#N)C#N)C(=O)[O-])C#N)C#N.N#Cc1cc(ccc1c1nnc(nn1)c1cc(C#N)c(c(c1C#N)C#N)C(=O)[O-])C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;5029961,Zn.CRSYSBLAZBNSOQ.PPLONRIQQVTTGW.XZJKIRHBCQEJFV.MOFkey-v1.pcu
5029962,N#CC1=C[C]2C(=C([N])O[C]3N2C(=O)c2c(C#N)c(C#N)c4c5c2c3c(C#N)c(c5C(=O)N2[C]4OC(=C3C2=CC=C([CH]3)C(=O)[O-])[N])C#N)C(=C1C(=O)[O-])C#N.N#Cc1cc(C(=O)[O-])c(c(c1c1nnc(nn1)c1c(C#N)cc(c(c1C#N)C#N)C(=O)[O-])C#N)C#N.N#Cc1cc(ccc1c1nnc(nn1)c1cc(C#N)c(c(c1C#N)C#N)C(=O)[O-])C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;5029962,Zn.CRSYSBLAZBNSOQ.PPLONRIQQVTTGW.XZJKIRHBCQEJFV.MOFkey-v1.pcu
5029963,N#CC1=C[C]2C(=C([N])O[C]3N2C(=O)c2c(C#N)c(C#N)c4c5c2c3c(C#N)c(c5C(=O)N2[C]4OC(=C3C2=CC=C([CH]3)C(=O)[O-])[N])C#N)C(=C1C(=O)[O-])C#N.N#Cc1cc(C(=O)[O-])c(c(c1c1nnc(nn1)c1c(C#N)cc(c(c1C#N)C#N)C(=O)[O-])C#N)C#N.N#Cc1cc(ccc1c1nnc(nn1)c1cc(C#N)c(c(c1C#N)C#N)C(=O)[O-])C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2;5029963,Zn.CRSYSBLAZBNSOQ.PPLONRIQQVTTGW.XZJKIRHBCQEJFV.MOFkey-v1.pcu
5029964,N#CC1=C[C]2C(=C([N])O[C]3N2C(=O)c2c4c3cc(C#N)c3c4c(c(c2C#N)C#N)[C]2N(C3=O)C3=CC=C([C](C3=C(O2)[N])C#N)C(=O)[O-])C=C1C(=O)[O-].N#Cc1c(ccc(c1C#N)C(=O)[O-])c1nnc(nn1)c1c(C#N)c(C#N)c(c(c1C#N)C#N)C(=O)[O-].N#Cc1cc(ccc1C(=O)[O-])c1nnc(nn1)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;5029964,Zn.DKCSKNYOFJCANQ.JOSPUKJSWOODSP.SMQLAMFYKXWQCP.MOFkey-v1.pcu
