5032914,* MOFid-v1.NA.NA;5032914,
5032915,CCCOC12C3C4C2(C2(C1C3(C42)C#CC(=O)[O-])OCCC)C#CC(=O)[O-].CCCOC12C3C4C2(C2(C1C3(C42OCCC)C#CC(=O)[O-])OCCC)C#CC(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;5032915,Zn.XFQZBUMUQOCCJS.YTXFSJYANHBTCA.MOFkey-v1.pcu
5032916,CCCOC12C3(C#CC(=O)[O-])C4C2(C2(C1(C3C42)OCCC)C#CC(=O)[O-])OCCC.CCCOc1cc(cc(c1C(=O)[O-])OCCC)N1C(=O)c2ccc3c4c2c(C1=O)cc(c4c1c2c3c(OCCC)cc3c2c(cc1)C(=O)N(C3=O)c1c(OCCC)cc(c(c1[O])OCCC)C(=O)[O-])OCCC.CCCOc1cc(ccc1C(=O)[O-])N1C(=O)c2ccc3c4c2c(C1=O)ccc4c1c2c3ccc3c2c(c(c1)OCCC)C(=O)N(C3=O)c1c(OCCC)cc(cc1OCCC)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu,sql.cat0;5032916,Zn.LVELWCZNMBBBEM.XVBWQTIGEWUIDF.ZLNLILMUMFUHCS.MOFkey-v1.pcu
5032917,CCCOC12C3C4(C1C1(C2(C3(C41OCCC)OCCC)C#CC(=O)[O-])OCCC)C#CC(=O)[O-].CCCOc1cc(ccc1N1C(=O)c2ccc3c4c2c(C1=O)c(OCCC)cc4c1c2c3c(OCCC)c(OCCC)c3c2c(c(c1OCCC)[O])C(=O)N(C3=O)c1ccc(c(c1)OCCC)C(=O)[O-])C(=O)[O-].CCOCOc1cc2C(=O)N(c3ccc(c(c3)OCCC)C(=O)[O-])C(=O)c3c2c2c1c1=[C]C=C4c5c1c(c2cc3OCCC)ccc5C(=O)N(C4=O)c1c(OCCC)cc(cc1OCCC)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu,sql.cat0;5032917,Zn.CVEVBXBSMJSPAE.WOASACJVROEVSJ.XTDNILLLGYSFOT.MOFkey-v1.pcu
5032918,N=NC12C3C4C1(C#CC(=O)[O-])C1(C2(C3(C41N=N)C#CC(=O)[O-])N=N)N=N.N=Nc1c(cc2c3c1N([NH])OC1=c4cc(N=N)c5-c6ccc7c8=C(C9=NNNN%10N(C%11=CC(=c4c5[C]%11C(=c68)[C]9%10)[C](N31)ON2[NH])[NH])[C]1N(C7=O)c2ccc(cc2N(O1)[NH])C(=O)[O-])C(=O)[O-].N=Nc1cc2c3c4c1C(=O)N1C5=CC=C(C6=NNNN([C]56)O[C]1c4cc1c3c3c4c2c(N=N)c2n[nH]oc5c2c4c(cc3[N]2(N1N2)[NH])c(=O)n5c1ccc(cc1)C(=O)[O-])C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;5032918,Zn.IUUKQPRPHFPOJH.KFLRTRXEHGYNEF.STLZEENYKGUIPB.MOFkey-v1.pcu
5032919,N=NC12C3(N=N)C4C1(C#CC(=O)[O-])C1(C2(C3(C41N=N)C#CC(=O)[O-])N=N)N=N.N=NC12C3C4C2(C2C1C3(C42N=N)C#CC(=O)[O-])C#CC(=O)[O-].N=Nc1cc2c3c4c1c1on([NH])c5c6N1c(c4ccc3c1c3c2cc(N=N)c2c3c(c(c1)N=N)c1N3c2on([NH])c2c3c(n(o1)[NH])c1c(c2)C(=O)ON[N]1)on(c6cc(c5N=N)C(=O)[O-])[NH].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;5032919,Zn.ADHWWNHGJLJOAF.KLYIQPJCAIAFGS.TUWNJHUYIVTQJW.MOFkey-v1.pcu
5032920,N=NC12C3(N=N)C4C1(C#CC(=O)[O-])C1(C2(C3(C41N=N)C#CC(=O)[O-])N=N)N=N.N=NC12C3C4C2(C2C1C3(C42N=N)C#CC(=O)[O-])C#CC(=O)[O-].N=Nc1cc2c3c4c1c1on([NH])c5c6N1c(c4ccc3c1c3c2cc(N=N)c2c3c(c(c1)N=N)c1N3c2on([NH])c2c3c(n(o1)[NH])c1c(c2)C(=O)ON[N]1)on(c6cc(c5N=N)C(=O)[O-])[NH].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;5032920,Zn.ADHWWNHGJLJOAF.KLYIQPJCAIAFGS.TUWNJHUYIVTQJW.MOFkey-v1.pcu
5032921,N=NC12C3(C#CC(=O)[O-])C4C2(C2(C1(C3C42N=N)N=N)C#CC(=O)[O-])N=N.N=NC1=C[C]2c3c4C1=C1ON([NH])c5c6N1C(=c4cc(c3=c1c3c2cc(N=N)c2c3c(cc1)c(=O)n1-c3c(N(Oc21)[NH])cc(cc3)C(=O)[O-])N=N)ON[N]c6c1c(c5N=N)C(=O)ON[N]1.N=Nc1cc(ccc1C(=O)[O-])N1C(=O)c2ccc3c4c2c(C1=O)cc1c4c2c4c3c(N=N)cc3c4c(c(c2n(n1[NH])[NH])N=N)C(=O)N(C3=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;5032921,Zn.DUNLFMDTPZAIBP.SPXZZUIATNWCJP.ZZLQHXBMVRKCPZ.MOFkey-v1.pcu
5032922,N=NC12C3(C#CC(=O)[O-])C4C2(C2(C1(C3C42N=N)N=N)C#CC(=O)[O-])N=N.N=NC1=C[C]2c3c4C1=C1ON([NH])c5c6N1C(=c4cc(c3=c1c3c2cc(N=N)c2c3c(cc1)c(=O)n1-c3c(N(Oc21)[NH])cc(cc3)C(=O)[O-])N=N)ON[N]c6c1c(c5N=N)C(=O)ON[N]1.N=Nc1c2C(=O)ON[N]c2c2c3-n4c(ON(c13)[NH])c1-c3c(c4ON[N]2)cc(c2c3c(cc1=N[NH])c1cc(N=N)c3c4c1c2ccc4c(=O)n1-c2c(N(Oc31)[NH])cc(cc2)C(=O)[O-])N=N.N=Nc1cc(ccc1C(=O)[O-])N1C(=O)c2ccc3c4c2c(C1=O)cc1c4c2c4c3c(N=N)cc3c4c(c(c2n(n1[NH])[NH])N=N)C(=O)N(C3=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;5032922,Zn.DUNLFMDTPZAIBP.SPXZZUIATNWCJP.ZZLQHXBMVRKCPZ.MOFkey-v1.pcu
5032923,N=NC12C3(C#CC(=O)[O-])C4C2(C2(C1(C3C42N=N)N=N)C#CC(=O)[O-])N=N.N=NC1=C[C]2c3c4C1=C1ON([NH])c5c6N1C(=c4cc(c3=c1c3c2cc(N=N)c2c3c(cc1)c(=O)n1-c3c(N(Oc21)[NH])cc(cc3)C(=O)[O-])N=N)ON[N]c6c1c(c5N=N)C(=O)ON[N]1.N=Nc1cc(ccc1C(=O)[O-])N1C(=O)c2ccc3c4c2c(C1=O)cc1c4c2c4c3c(N=N)cc3c4c(c(c2n(n1[NH])[NH])N=N)C(=O)N(C3=O)c1ccc(cc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2;5032923,Zn.DUNLFMDTPZAIBP.SPXZZUIATNWCJP.ZZLQHXBMVRKCPZ.MOFkey-v1.pcu
5032924,N=NC12C3C4(C2(C2C1(C3(C42N=N)N=N)C#CC(=O)[O-])N=N)C#CC(=O)[O-].N=NC12C3C4C2(C2C1C3(C42)C#CC(=O)[O-])C#CC(=O)[O-].N=NC1=C(C(=O)[O-])C2=NNNN3[C]2C2=C1N([NH])O[C]1N2C(=c2c4c1c(N=N)c1c5c4c4c(c2)n([NH])n2c6c4c4c5c(n(n1[NH])[NH])cc1c4c(c6n[nH][nH]2)c2n4-c5c(n(oc14)[NH])cc(c(c5n(o2)[NH])N=N)C(=O)[O-])O3.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat0;5032924,Zn.AHQDDMBAZMRGBV.KMERHHAHCWXMDU.YWBAACBUHSPUTH.MOFkey-v1.pcu
