5054871,* MOFid-v1.NA.NA;5054871,
5054872,* MOFid-v1.NA.NA;5054872,
5054873,* MOFid-v1.NA.NA;5054873,
5054874,NC1=C2C3=C(C=C(C4=[C]N([C]C(=C1)[C]34)c1c(N)cncc1N)N)C(=O)N(C2=O)c1ccncc1N.[O-]C(=O)c1c(N)cc(cc1N)N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1cc(N)c(c(c1)N)C(=O)[O-].[O-]C(=O)c1ccc2c(c1)[NH2]O[C]1N2C(=O)c2c3c1cc(N)c1c3c(c(c2N)N)C(=O)N(C1=O)c1ccc(c(c1)N)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0;5054874,Zn.MTWZJKOIZHZZFB.OKTUPWNOHRQHLT.RXDHKODKHCASMY.MOFkey-v1.pcu
5054875,NC1=C2C3=C(C=C(C4=[C]N([C]C(=C1)[C]34)c1c(N)cncc1N)N)C(=O)N(C2=O)c1ccncc1N.[O-]C(=O)c1c(N)cc(cc1N)N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1cc(N)c(c(c1)N)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)N)N1C(=O)c2cc(N)c3c4c2c(C1=O)c(N)c(c4C(=O)N(C3=O)c1ccc(c(c1)N)C(=O)[O-])N.[O-]C(=O)c1ccc2c(c1)[NH2]O[C]1N2C(=O)c2c3c1cc(N)c1c3c(c(c2N)N)C(=O)N(C1=O)c1ccc(c(c1)N)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat1;5054875,Zn.MTWZJKOIZHZZFB.OKTUPWNOHRQHLT.RXDHKODKHCASMY.UFALAYNQLMILOH.MOFkey-v1.pcu
5054876,NC1=C2C3=C(C=C(C4=[C]N([C]C(=C1)[C]34)c1c(N)cncc1N)N)C(=O)N(C2=O)c1ccncc1N.[O-]C(=O)c1c(N)cc(cc1N)N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1cc(N)c(c(c1)N)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)N)N1C(=O)c2cc(N)c3c4c2c(C1=O)c(N)c(c4C(=O)N(C3=O)c1ccc(c(c1)N)C(=O)[O-])N.[Zn][Zn] MOFid-v1.pcu.cat2;5054876,Zn.OKTUPWNOHRQHLT.RXDHKODKHCASMY.UFALAYNQLMILOH.MOFkey-v1.pcu
5054877,* MOFid-v1.NA.NA;5054877,
5054878,* MOFid-v1.NA.NAno_mof;5054878,NA.MISSING_LINKERS.MOFkey-v1
5054879,* MOFid-v1.NA.NAno_mof;5054879,NA.MISSING_LINKERS.MOFkey-v1
5054880,OO[C]1N(C2=CC=C(C=[C]2)C(=O)[O-])C(=O)c2c3c1c(O)c(O)c1c3c(c(c2O)O)[C](N(C1=O)C1=CC=C(C=[C]1)C(=O)[O-])OO.OO[C]1N(C2=CC=C(C=[C]2)C(=O)[O-])C(=O)c2c3c1c(O)c(O)c1c3c(cc2)C(=O)N(C1=O)c1ccc(c(c1)O)C(=O)[O-].OO[C]1N(C2=[C]C=NC=[C]2)C(=c2c3c1ccc1c3c(c(c2)O)c(=O)n(c1OO)C1=CC(=NC=[C]1)O)OO.[Zn][Zn] MOFid-v1.pcu.cat0;5054880,Zn.CPQJJJSKQBTFOW.LGDBZXPXGIMNLA.YRIBIESUJOCTLP.MOFkey-v1.pcu
5054881,OO[C]1N(C2=CC=C(C=[C]2)C(=O)[O-])C(=O)c2c3c1c(O)c(O)c1c3c(c(c2O)O)[C](N(C1=O)C1=CC=C(C=[C]1)C(=O)[O-])OO.OO[C]1N(C2=CC=C(C=[C]2)C(=O)[O-])C(=O)c2c3c1c(O)c(O)c1c3c(cc2)C(=O)N(C1=O)c1ccc(c(c1)O)C(=O)[O-].OO[C]1N(C2=[C]C=NC=[C]2)C(=c2c3c1ccc1c3c(c(c2)O)c(=O)n(c1OO)C1=CC(=NC=[C]1)O)OO.OO[C]1N(C2=[C]C=NC=[C]2)C(=c2c3c1ccc1c3c(c(c2)O)c(=O)n(c1OO)C1=[C][CH]N=C([CH]1)O)OO.[Zn][Zn] MOFid-v1.pcu.cat1;5054881,Zn.CPQJJJSKQBTFOW.LGDBZXPXGIMNLA.YRIBIESUJOCTLP.MOFkey-v1.pcu
5054882,OO[C]1N(C2=CC=C(C=[C]2)C(=O)[O-])C(=O)c2c3c1c(O)c(O)c1c3c(c(c2O)O)[C](N(C1=O)C1=CC=C(C=[C]1)C(=O)[O-])OO.OO[C]1N(C2=CC=C(C=[C]2)C(=O)[O-])C(=O)c2c3c1c(O)c(O)c1c3c(cc2)C(=O)N(C1=O)c1ccc(c(c1)O)C(=O)[O-].OO[C]1N(C2=[C]C=NC=[C]2)C(=c2c3c1ccc1c3c(c(c2)O)c(=O)n(c1OO)C1=CC(=NC=[C]1)O)OO.OO[C]1N(C2=[C]C=NC=[C]2)C(=c2c3c1ccc1c3c(c(c2)O)c(=O)n(c1OO)C1=[C][CH]N=C([CH]1)O)OO.[Zn][Zn] MOFid-v1.pcu.cat2;5054882,Zn.CPQJJJSKQBTFOW.LGDBZXPXGIMNLA.YRIBIESUJOCTLP.MOFkey-v1.pcu
5054883,OO[C]1N(C2=CC=C(C=[C]2)C(=O)[O-])C(=O)c2c3c1c(O)cc1c3c(cc2O)C(=O)N(C1=O)c1ccc(c(c1O)O)C(=O)[O-].OO[C]1N(C2=[C]C(=C(C(=[C]2)O)C(=O)[O-])O)C(=c2c3=C1C(=C(O)[C]1c3c(c(c2)O)C(=O)N(C1=O)c1c(O)cc(c(c1O)O)C(=O)[O-])O)OO.OO[C]1N(C2=[C][CH]N=C([CH]2)O)C(=O)c2c3c1c(O)cc1c3c(c(c2O)O)C(=O)N(C1=O)c1ccnc(c1)O.[Zn][Zn] MOFid-v1.pcu.cat0;5054883,Zn.BQAJWFDFZFVDNB.BTVMTODOBODAGY.GVQRRTHRICBJDV.MOFkey-v1.pcu
5054884,OO[C]1N(C2=CC=C(C=[C]2)C(=O)[O-])C(=O)c2c3c1c(O)cc1c3c(cc2O)C(=O)N(C1=O)c1ccc(c(c1O)O)C(=O)[O-].OO[C]1N(C2=[C]C(=C(C(=[C]2)O)C(=O)[O-])O)C(=c2c3=C1C(=C(O)[C]1c3c(c(c2)O)C(=O)N(C1=O)c1c(O)cc(c(c1O)O)C(=O)[O-])O)OO.OO[C]1N(C2=[C][CH]N=C([CH]2)O)C(=O)c2c3c1c(O)cc1c3c(c(c2O)O)C(=O)N(C1=O)c1ccnc(c1)O.[Zn][Zn] MOFid-v1.pcu.cat1;5054884,Zn.BQAJWFDFZFVDNB.BTVMTODOBODAGY.GVQRRTHRICBJDV.MOFkey-v1.pcu
