5062108,* MOFid-v1.NA.NA;5062108,
5062109,N=NN=N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC(=O)[O-] MOFid-v1.ERROR.cat0;5062109,Cu.IKFYKESYZGFGEB.IVHBREJLPGXBAS.VZCYOOQTPOCHFL.MOFkey-v1.ERROR
5062110,N=NN=N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC(=O)[O-] MOFid-v1.ERROR.cat1;5062110,Cu.IKFYKESYZGFGEB.IVHBREJLPGXBAS.VZCYOOQTPOCHFL.MOFkey-v1.ERROR
5062111,* MOFid-v1.NA.NA;5062111,
5062112,N=N.N=NC(=CC(=O)[O-])C(=O)[O-].[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-] MOFid-v1.ERROR.cat0;5062112,Cu.IVHBREJLPGXBAS.LRHJRDCPAJOUMU.RAABOESOVLLHRU.MOFkey-v1.ERROR
5062113,N=N.N=NC(=CC(=O)[O-])C(=O)[O-].[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-] MOFid-v1.ERROR.cat1;5062113,Cu.IVHBREJLPGXBAS.LRHJRDCPAJOUMU.RAABOESOVLLHRU.MOFkey-v1.ERROR
5062114,N=CC=N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC=CC(=O)[O-] MOFid-v1.pcu.cat0;5062114,Cu.IVHBREJLPGXBAS.KYMVBVBRCRFHIE.TXXHDPDFNKHHGW.MOFkey-v1.pcu
5062115,N=CC=N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC=CC(=O)[O-] MOFid-v1.pcu.cat1;5062115,Cu.IVHBREJLPGXBAS.KYMVBVBRCRFHIE.TXXHDPDFNKHHGW.MOFkey-v1.pcu
5062116,N=CC=N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC=CC(=O)[O-] MOFid-v1.pcu.cat2;5062116,Cu.IVHBREJLPGXBAS.KYMVBVBRCRFHIE.TXXHDPDFNKHHGW.MOFkey-v1.pcu
5062117,N=CC=N.O=C1C=CC=CC(=O)O[C]([C]C#C[C][C](OC(=O)C=CC=CC(=O)O[C]([C]C#C[C][C](O1)C(=O)[O-])C(=O)[O-])C(=O)[O-])C(=O)[O-].[Cu][Cu] MOFid-v1.UNKNOWN.cat0;5062117,Cu.JJPGXRJKGFLJJV.KYMVBVBRCRFHIE.MOFkey-v1.UNKNOWN
5062118,N=CC=N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC=CC(=O)[O-] MOFid-v1.pcu.cat0;5062118,Cu.IVHBREJLPGXBAS.KYMVBVBRCRFHIE.TXXHDPDFNKHHGW.MOFkey-v1.pcu
5062119,N=CC=N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC=CC(=O)[O-] MOFid-v1.pcu.cat1;5062119,Cu.IVHBREJLPGXBAS.KYMVBVBRCRFHIE.TXXHDPDFNKHHGW.MOFkey-v1.pcu
5062120,FC(=NF)C=N.[Cu][Cu].[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)C=CC(=CC(=O)[O-])F MOFid-v1.pcu.cat0;5062120,Cu.IVHBREJLPGXBAS.OMOYXGWQQCUILM.OZSAECPLLVFZIE.MOFkey-v1.pcu
