4000298,* MOFid-v1.NA.NA;4000298,
4000299,Nc1c(cc(c(c1N)c1c(N)c(C(=O)[O-])c(c(c1N)C(=O)[O-])N)N)c1cc(cc(c1N)[C]([O])[O])C(=O)[O-].Nc1c2c(C(=O)[O-])c(N)c(c3c2c2c4c1ccc1c4c4c5c2c(c3)ccc5c2c3c4c(c1)c(cc3C(=O)O[NH2]2)C(=O)[O-])C(=O)[O-].Nc1cc(cc(c1c1c(N)c(C(=O)[O-])c(c(c1N)C(=O)[O-])N)N)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].Nc1cc(cc(c1c1c(N)c(C(=O)[O-])c(c(c1N)C(=O)[O-])N)N)c1cc(cc(c1N)C(=O)[O-])C(=O)[O-].Nc1cc(ccc1c1cc([C]([O])[O])c(c(c1)C(=O)[O-])N)c1c(N)c(cc(c1N)C(=O)[O-])C(=O)[O-].[Cu][Cu].[O-]C(=O)c1c(N)c(C(=O)[O-])c2c3c1cc1c(N)cc4c5c1c3c1c(c2)c(N)c(c2c1c5c1c(c4)c(C(=O)[O-])c(c(c1c2N)C(=O)[O-])N)N MOFid-v1.nbo,UNKNOWN.cat0;4000299,Cu.CSIJJROKXIPJDN.IYGHJMFWCRHZOW.MBELWQUKACYDTE.RKDZJJTVEHUENA.VWCUAXNQBROKPG.YHYTUOSXBSVTRJ.MOFkey-v1.nbo
4000300,Nc1cc(cc(c1c1cc(C(=O)[O-])c(c(c1N)C(=O)[O-])N)N)c1cc(cc(c1N)C(=O)[O-])C(=O)[O-].Nc1cc2cc3c(C(=O)[O-])c(N)c(c4c3c3c2c2c1cc1c(C(=O)[O-])c(N)c(c5c1c2c1c3c(c4)c(cc1c5N)N)C(=O)[O-])C(=O)[O-].[Cu][Cu].[O-]C(=O)c1c(N)c2C(=O)O[NH2]c3c2c2c1cc1ccc4c5c1c2c1c3c(N)cc2c1c5c1c(c4N)c(cc3c1c2[NH2]OC3=O)C(=O)[O-].[O-]C(=O)c1cc(c2c(N)cc(c(c2N)N)c2c(N)c([C]([O])[O])c(c(c2N)C(=O)[O-])N)c(c(c1N)C(=O)[O-])N.[O][C](c1cc(c2ccc(c(c2N)N)c2c(N)c(C(=O)[O-])c(c(c2N)C(=O)[O-])N)c(c(c1)C(=O)[O-])N)[O] MOFid-v1.nbo,UNKNOWN.cat0;4000300,Cu.NQBVRJJNLIPORG.OVQQJHHEMRSLBM.VGJQMEQYCFRHMB.VQJCJDVTLPYUHM.YGLPBBQBRGLLGG.MOFkey-v1.nbo
4000301,Nc1c(cc(c(c1N)c1c(N)c(cc(c1N)C(=O)[O-])C(=O)[O-])N)c1cc(cc(c1N)[C]([O])[O])C(=O)[O-].Nc1cc(cc(c1c1cc(cc(c1N)C(=O)[O-])C(=O)[O-])N)c1cc(C(=O)[O-])c(c(c1N)C(=O)[O-])N.Nc1cc2cc3c(C(=O)[O-])c(N)c(c4c3c3c2c2c1c(N)c1c5c2c2c3c(c4)cc(c2c2c5c(cc1C(=O)[O-])C(=O)O[NH2]2)N)C(=O)[O-].Nc1cc2cc3c(cc(c4c3c3c2c2c1cc1c(C(=O)[O-])c(N)c(c5c1c2c1c3c(c4)c(c(c1c5N)N)N)C(=O)[O-])C(=O)[O-])C(=O)[O-].[Cu][Cu].[O-]C(=O)c1cc(C(=O)[O-])c(c(c1N)c1ccc(c(c1N)N)c1cc(C(=O)[O-])c(c(c1N)[C]([O])[O])N)N.[O-]C(=O)c1cc(c2cc(N)c(cc2N)c2c(N)c(C(=O)[O-])c(c(c2N)C(=O)[O-])N)c(c(c1)C(=O)[O-])N MOFid-v1.nbo,UNKNOWN.cat0;4000301,Cu.DOVRBDMNDZDICL.IGXTUBLSSXCDLL.JDHQEVTWCUHHQK.PJGSIKSWJJTBRU.SCXHBFVTBDDKHA.VXBUYWICMHONBW.MOFkey-v1.nbo
4000302,* MOFid-v1.NA.NA;4000302,
4000303,* MOFid-v1.NA.NA;4000303,
4000304,Nc1cc(cc(c1c1c(N)c(C(=O)[O-])c(c(c1N)C(=O)[O-])N)N)c1cc(C(=O)[O-])c(c(c1)C(=O)[O-])N.Nc1cc(ccc1c1cc(cc(c1N)C(=O)[O-])C(=O)[O-])c1c(N)c(cc(c1N)C(=O)[O-])C(=O)[O-].[Cu][Cu].[O-]C(=O)c1cc(C(=O)[O-])c2c3c1cc1cc(N)c4c5c1c3c1c(c2N)cc(c2c1c5c1c(c4)c(C(=O)[O-])c(c(c1c2)C(=O)[O-])N)N.[O-]C(=O)c1cc(C(=O)[O-])c2c3c1cc1ccc4c5c1c3c1c(c2)cc(c2c1c5c1c3c4[NH2]OC(=O)c3cc(c1c2)C(=O)[O-])N.[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(N)c(cc1N)c1cc(C(=O)[O-])c(c(c1N)[C]([O])[O])N.[O][C](c1cc(c2ccc(c(c2N)N)c2cc(C(=O)[O-])c(c(c2)C(=O)[O-])N)c(c(c1)C(=O)[O-])N)[O] MOFid-v1.nbo,UNKNOWN.cat0;4000304,Cu.DQXFJENAZPSJLG.FAFVUKWTSDTLEN.FOKWBWSZTREPCP.JWUSNJHHVTYIEL.OMDAPTFDPCWBHO.PAYCNFDHTYXGBB.MOFkey-v1.nbo
4000305,* MOFid-v1.NA.NA;4000305,
4000306,* MOFid-v1.NA.NA;4000306,
4000307,* MOFid-v1.NA.NA;4000307,
4000308,OOC(=O)c1cc(C(=O)[O-])c2c3c1[C]=C1[C]=Cc4c5c1c3c1c(c2)c(O)c(c2c1c5c1c(c4)c(C(=O)[O-])c(c(c1c2)C(=O)[O-])O)O.OOC(=O)c1cc(C(=O)[O-])c2c3c1[C]=c1ccc4c5c1c3c1c(c2)ccc2c1c5c1c(c4O)c(cc(c1c2)C(=O)[O-])C(=O)[O-].Oc1c(cc(c(c1O)c1c(O)c(cc(c1O)C(=O)[O-])C(=O)[O-])O)c1cc(cc(c1)C(=O)[O-])[C]([O])[O].Oc1cc(ccc1c1c(O)c(cc(c1O)C(=O)[O-])C(=O)[O-])c1cc(C(=O)[O-])c(c(c1)C(=O)[O-])O.[Cu][Cu].[O-]C(=O)c1cc(C(=O)[O-])c(c(c1O)c1cc(O)c(c(c1)O)c1c(O)c(cc(c1O)C(=O)[O-])C(=O)[O-])O.[O][C](c1cc(C(=O)[O-])c(c(c1)c1ccc(c(c1O)O)c1c(O)c(cc(c1O)C(=O)[O-])C(=O)[O-])O)[O] MOFid-v1.nbo,UNKNOWN.cat0;4000308,Cu.ABWUIMJZDWXIHU.JKNSWNMQSNMPRT.KYFLWPYFSWOOHY.NQNYYDPENSNLMO.NVAYBMJOMJEITQ.XNNWIRYDSIHWCY.MOFkey-v1.nbo
