filename	mofkey
ADEGIA_clean.cif	Gd.KKEYFWRCBNTPAC.MOFkey-v1.pcu
ADINCU_clean.cif	Cu.HEUVKASCJJGDBZ.MOFkey-v1.dia
ADIQEL_clean.cif	Co.SYNQMRITZYACCH.MOFkey-v1.rtl
ADOBAX_charged.cif	VMn.MWVTWFVJZLCBMC.MOFkey-v1.UNKNOWN
ADOBEB_charged.cif	VMn.MWVTWFVJZLCBMC.MOFkey-v1.UNKNOWN
ADOBIF_clean.cif	VCo.MWVTWFVJZLCBMC.MOFkey-v1.UNKNOWN
ADOBOL_charged.cif	VCo.MWVTWFVJZLCBMC.MOFkey-v1.UNKNOWN
ADOBUR_charged.cif	VNi.MWVTWFVJZLCBMC.MOFkey-v1.UNKNOWN
ADOCAY_charged.cif	VNi.MWVTWFVJZLCBMC.MOFkey-v1.UNKNOWN
ADOCEC_clean.cif	VNi.MWVTWFVJZLCBMC.MOFkey-v1.UNKNOWN
ADOCIG_charged.cif	VNi.MWVTWFVJZLCBMC.MOFkey-v1.UNKNOWN
ADODAA_charged.cif	Cu.UWNKDZDWUNMRII.MOFkey-v1.UNKNOWN
ADODII_clean.cif	La.WGELLMPRCOEWEP.MOFkey-v1.UNKNOWN
ADODOO_clean.cif	Eu.WGELLMPRCOEWEP.MOFkey-v1.UNKNOWN
ADODUU_clean.cif	Tb.WGELLMPRCOEWEP.MOFkey-v1.UNKNOWN
ADOGEH_clean.cif	Cu.VEMMNKDUCNRQEB.MOFkey-v1.tbo
ADOLOV_clean.cif	Ni.QMKYBPDZANOJGF.MOFkey-v1.hcb
ADUROI_clean.cif	Zn.BISSHMGLYKFXJO.MOFkey-v1.pbz
ADUWIH_clean.cif	Zn.KDZKOWLBSBVDCX.MOFkey-v1.pcu
ADUWON_clean.cif	Ni.KDZKOWLBSBVDCX.MOFkey-v1.soc
AFADAN_clean.cif	Fe.LUOXFPFERXZJIU.MOFkey-v1.pcu
AFEDIA_clean.cif	NiTb.POMFMMSRVMERFN.MOFkey-v1.UNKNOWN
AFEJOK_ion_b.cif	Cu.MWVTWFVJZLCBMC.YPJKMVATUPSWOH.MOFkey-v1.bnn
AFEKAX_clean.cif	NA.MISSING_LINKERS.MOFkey-v1
AFENEE_clean.cif	
AFIPAH_clean.cif	La.MUBZPKHOEPUJKR.VZCYOOQTPOCHFL.MOFkey-v1.ERROR
AFITEP_clean.cif	Zn.ARBAMECCCQZCSR.MWVTWFVJZLCBMC.MOFkey-v1.dia
AFITIT_clean.cif	Zn.MWVTWFVJZLCBMC.VLWQGEBWTFWSHY.MOFkey-v1.pcu
AFITOZ_clean.cif	Zn.VXGBNSMSORGPKA.ZOZRTTJLEQKDKJ.MOFkey-v1.sql
AFITUF_clean.cif	Zn.MWVTWFVJZLCBMC.WBTLOEZFOBPGEI.MOFkey-v1.pcu
AFIXAO_clean.cif	Co.AODALHUPEBREOC.MOFkey-v1.nog
AFIXES_clean.cif	Co.AODALHUPEBREOC.MOFkey-v1.nog
AFOQUI_clean.cif	Zn.PEUPUKDBCPLDIH.QMKYBPDZANOJGF.MOFkey-v1.UNKNOWN
AFOTOF_clean.cif	Eu.NEQFBGHQPUXOFH.MOFkey-v1.tsy
AFOTUL_clean.cif	Sm.NEQFBGHQPUXOFH.MOFkey-v1.tsy
AFOVAT_clean.cif	La.NEQFBGHQPUXOFH.MOFkey-v1.tsy
AFOVEX_clean.cif	Ce.NEQFBGHQPUXOFH.MOFkey-v1.tsy
AFOVIB_clean.cif	Gd.NEQFBGHQPUXOFH.MOFkey-v1.tsy
AFOVOH_clean.cif	Nd.NEQFBGHQPUXOFH.MOFkey-v1.tsy
AFOYAW_clean.cif	Cu.YLVOERRBUWBZGC.MOFkey-v1.UNKNOWN
AFOYEA_clean.cif	Cu.YLVOERRBUWBZGC.MOFkey-v1.ERROR
AFOYEB_clean.cif	
AFOYIE_clean.cif	Cu.YLVOERRBUWBZGC.MOFkey-v1.lim
AFOYOK_clean.cif	Cu.OYVRMXRDIPPDQL.MOFkey-v1.tsy
AFUJUI_clean.cif	Mn.WGELLMPRCOEWEP.MOFkey-v1.ERROR
AFUKAP_clean.cif	Mn.JWPDUQLIPMJLOF.WGELLMPRCOEWEP.MOFkey-v1.sql
AFUKET_clean.cif	Mn.JWPDUQLIPMJLOF.WGELLMPRCOEWEP.MOFkey-v1.UNKNOWN
AFUKIX_clean.cif	Mn.MIFVIKFUGIBACJ.SWNAZAHXXYZJNV.UVICQUKXXNXBSL.WGELLMPRCOEWEP.MOFkey-v1.UNKNOWN
AFUPEX_clean.cif	Tm.QMKYBPDZANOJGF.MOFkey-v1.sql
AGABIU_clean.cif	
AGARUW_clean.cif	La.BVKZGUZCCUSVTD.YUDYVVIXRNCWSX.MOFkey-v1.UNKNOWN
AGAXOV_clean.cif	Cu.YCGAZNXXGKTASZ.MOFkey-v1.sql
AGAYIQ_clean.cif	Cu.RHFSRTQXETUEBB.MOFkey-v1.ERROR
AGAYOW_clean.cif	Cu.GSKAVKUPXNQMMP.SZJMPFGBFCVGDT.UICDLFIUHHWDDF.MOFkey-v1.mot
AGESIP_clean.cif	Cu.KDAVZOLBYGNLGF.MOFkey-v1.UNKNOWN
AGIMOU_clean.cif	Mn.IJLBGFSXLDTFFL.MOFkey-v1.ERROR
AGIREP_clean.cif	Zn.QMKYBPDZANOJGF.MOFkey-v1.UNKNOWN
AGOFEJ_clean.cif	
AGONAM_clean.cif	Cd.CYIDZMCFTVVTJO.MOFkey-v1.sql
AGONEQ_clean.cif	Cd.CYIDZMCFTVVTJO.MOFkey-v1.pts
AGOVID_charged.cif	In.NEQFBGHQPUXOFH.MOFkey-v1.ERROR
AGOVOJ_clean.cif	In.AUHWIOALGNRQEY.MOFkey-v1.ERROR
AGOVUP_clean.cif	In.HLYNCYAOLRANJS.MOFkey-v1.ERROR
AGOWAW_charged.cif	In.KKEYFWRCBNTPAC.MOFkey-v1.ERROR
AGOWEA_charged.cif	In.KKEYFWRCBNTPAC.MOFkey-v1.ERROR
AGUTUS_clean.cif	Cu.RDYNPUWAAJSGIP.MOFkey-v1.bcu
AGUVOO_charged.cif	Cu.RDYNPUWAAJSGIP.MOFkey-v1.UNKNOWN
AGUWUV_clean.cif	Ni.BFNMJPRWBHSVTB.CYIDZMCFTVVTJO.MOFkey-v1.UNKNOWN
AHAMAY_clean.cif	
AHAPUV_clean.cif	Zn.SRTQKANXPMBQCX.MOFkey-v1.sql
AHEBAS_clean.cif	Cu.SVEIWRCKSZENKQ.MOFkey-v1.UNKNOWN
AHEQAH_clean.cif	Ho.NIJMZBWVSRWZFZ.MOFkey-v1.UNKNOWN
AHETAK_clean.cif	Co.DUAJIKVIRGATIW.TWBYWOBDOCUKOW.MOFkey-v1.ERROR
AHIKOT_clean.cif	Co.JCQIJRNXULRVGV.ZKZKXEPFYXUTNI.MOFkey-v1.ERROR
AHINIP_clean.cif	Zn.LSPHULWDVZXLIL.YNRBOJQEYFECNY.MOFkey-v1.cds
AHIYOH_clean.cif	Co.ABMFBCRYHDZLRD.MOFkey-v1.bcu
AHIYUN_clean.cif	Co.SSODQXRGMVULMF.MOFkey-v1.ERROR
AHOBEG_clean.cif	Co.JWPDUQLIPMJLOF.WJULYWVVWYZPTE.MOFkey-v1.fsc
AHOKIR01_clean.cif	Cu.QTNVKGCBOJAMME.MOFkey-v1.scu
AHOKIR_clean.cif	Cu.YTMYCPFXFWGZJQ.MOFkey-v1.scu
AHOKOX_clean.cif	Cu.XXSKYZPBBGUZBL.MOFkey-v1.scu
AHOZAA_clean.cif	Cd.FRPGISJYPCYAIB.MOFkey-v1.sql
AHUFIU_clean.cif	Ag.FOBPTJZYDGNHLR.MGFJDEHFNMWYBD.MOFkey-v1.ERROR
AHUTIH01_clean.cif	
AHUTIH_clean.cif	
AJAKON_clean.cif	Cd.VEBUOOBGPZWCFE.MOFkey-v1.UNKNOWN
AJAMEF_clean.cif	Co.NEPNOFJGIJNSPI.PXGZQGDTEZPERC.MOFkey-v1.ERROR
AJAYIT_clean.cif	CuEr.NBZBKCUXIYYUSX.MOFkey-v1.UNKNOWN
AJIGIL_clean.cif	Na.VBKCMVKXPPVZBO.MOFkey-v1.dia
AJIHAE_clean.cif	Co.BGHRFKDEGACSQQ.FMGPOHIRHIGSDR.GZJYHAYPVZNUJX.PMZBHPUNQNKBOA.MOFkey-v1.ERROR
AJIMEN_clean.cif	Zn.FMGPOHIRHIGSDR.VZCYOOQTPOCHFL.MOFkey-v1.ERROR
AJINOY_clean.cif	Cu.PQOCAFLVISLZNI.SCWPNMHQRGNQHH.MOFkey-v1.ERROR
AJOHUE_clean.cif	In.JJAKJDHOTATTFX.ZDYQJMIYOVUYDU.MOFkey-v1.dia
AJOQEW_clean.cif	NA.MISSING_LINKERS.MOFkey-v1
AJOQIA_clean.cif	NA.MISSING_LINKERS.MOFkey-v1
AJOQOG_clean.cif	NA.MISSING_LINKERS.MOFkey-v1
AJOQUM_clean.cif	NA.MISSING_LINKERS.MOFkey-v1
AJORAT_clean.cif	NA.MISSING_LINKERS.MOFkey-v1
AJOVEB_clean.cif	Cd.APXJLYIVOFARRM.MOFkey-v1.UNKNOWN
AJOXAA_clean.cif	Nd.YCGAZNXXGKTASZ.MOFkey-v1.ERROR
AJUNOK_clean.cif	Cd.BCELLIKASCUFAD.KKEYFWRCBNTPAC.MOFkey-v1.pcu
AKAYIV_clean.cif	Cu.DGRPQJPARZFUQW.MOFkey-v1.ths
AKEDIF_clean.cif	Zn.KKEYFWRCBNTPAC.QRZWEROLVZUPJH.MOFkey-v1.dia
AKIXEZ_clean.cif	Cu.GZJYHAYPVZNUJX.MOFkey-v1.kgm
AKOBAF_clean.cif	Cd.MGNFSQXAAMPTTF.MOFkey-v1.dia
AKOXIJ_clean.cif	Ni.GCTZOKKTQJSWST.SKUJHRMBRMLDAE.TWBYWOBDOCUKOW.MOFkey-v1.ERROR
AKUHOD01_clean.cif	Gd.OFOBLEOULBTSOW.MOFkey-v1.ERROR
AKUHOD03_clean.cif	Gd.OFOBLEOULBTSOW.XUGXYRKPTFJFEX.MOFkey-v1.ERROR
AKUHOD_clean.cif	Gd.OFOBLEOULBTSOW.MOFkey-v1.ERROR
AKUKUO_clean.cif	Ni.JOQZJLHTUSYICQ.MGFJDEHFNMWYBD.MOFkey-v1.frl
ALAHUS_clean.cif	Tb.BDAGIHXWWSANSR.SDXXOJWRXDKCKJ.MOFkey-v1.UNKNOWN
ALALUU01_clean.cif	Pr.OFOBLEOULBTSOW.MOFkey-v1.ERROR
ALALUU_clean.cif	Pr.OFOBLEOULBTSOW.WZWVWDUGLHBFRR.MOFkey-v1.ERROR
ALAMUW_clean.cif	Cu.VNXPQNLCRTWKSB.MOFkey-v1.nbo
ALANAD_clean.cif	Zn.VNXPQNLCRTWKSB.MOFkey-v1.pts
